Region,Year,Price_Type,Total_GRDP
Bangsamoro Autonomous Region in Muslim Mindanao,2000,At Constant 2018 Prices,98017851.0
Bangsamoro Autonomous Region in Muslim Mindanao,2000,At Current Prices,45671649.0
Bangsamoro Autonomous Region in Muslim Mindanao,2001,At Constant 2018 Prices,94136902.0
Bangsamoro Autonomous Region in Muslim Mindanao,2001,At Current Prices,44751362.0
Bangsamoro Autonomous Region in Muslim Mindanao,2002,At Constant 2018 Prices,105745055.0
Bangsamoro Autonomous Region in Muslim Mindanao,2002,At Current Prices,53170834.0
Bangsamoro Autonomous Region in Muslim Mindanao,2003,At Constant 2018 Prices,110826733.0
Bangsamoro Autonomous Region in Muslim Mindanao,2003,At Current Prices,57745738.0
Bangsamoro Autonomous Region in Muslim Mindanao,2004,At Constant 2018 Prices,119752524.0
Bangsamoro Autonomous Region in Muslim Mindanao,2004,At Current Prices,71276682.0
Bangsamoro Autonomous Region in Muslim Mindanao,2005,At Constant 2018 Prices,126327483.0
Bangsamoro Autonomous Region in Muslim Mindanao,2005,At Current Prices,79514046.0
Bangsamoro Autonomous Region in Muslim Mindanao,2006,At Constant 2018 Prices,133711481.0
Bangsamoro Autonomous Region in Muslim Mindanao,2006,At Current Prices,89250281.0
Bangsamoro Autonomous Region in Muslim Mindanao,2007,At Constant 2018 Prices,140661469.0
Bangsamoro Autonomous Region in Muslim Mindanao,2007,At Current Prices,94877985.0
Bangsamoro Autonomous Region in Muslim Mindanao,2008,At Constant 2018 Prices,143109506.0
Bangsamoro Autonomous Region in Muslim Mindanao,2008,At Current Prices,104963626.0
Bangsamoro Autonomous Region in Muslim Mindanao,2009,At Constant 2018 Prices,148174653.0
Bangsamoro Autonomous Region in Muslim Mindanao,2009,At Current Prices,111177863.0
Bangsamoro Autonomous Region in Muslim Mindanao,2010,At Constant 2018 Prices,161737153.0
Bangsamoro Autonomous Region in Muslim Mindanao,2010,At Current Prices,131635468.0
Bangsamoro Autonomous Region in Muslim Mindanao,2011,At Constant 2018 Prices,166414758.0
Bangsamoro Autonomous Region in Muslim Mindanao,2011,At Current Prices,141744037.0
Bangsamoro Autonomous Region in Muslim Mindanao,2012,At Constant 2018 Prices,170707107.0
Bangsamoro Autonomous Region in Muslim Mindanao,2012,At Current Prices,154218301.0
Bangsamoro Autonomous Region in Muslim Mindanao,2013,At Constant 2018 Prices,178542938.0
Bangsamoro Autonomous Region in Muslim Mindanao,2013,At Current Prices,165084288.0
Bangsamoro Autonomous Region in Muslim Mindanao,2014,At Constant 2018 Prices,189848311.0
Bangsamoro Autonomous Region in Muslim Mindanao,2014,At Current Prices,178403975.0
Bangsamoro Autonomous Region in Muslim Mindanao,2015,At Constant 2018 Prices,191818068.0
Bangsamoro Autonomous Region in Muslim Mindanao,2015,At Current Prices,172907713.0
Bangsamoro Autonomous Region in Muslim Mindanao,2016,At Constant 2018 Prices,198444393.0
Bangsamoro Autonomous Region in Muslim Mindanao,2016,At Current Prices,184572658.0
Bangsamoro Autonomous Region in Muslim Mindanao,2017,At Constant 2018 Prices,218512906.0
Bangsamoro Autonomous Region in Muslim Mindanao,2017,At Current Prices,210663685.0
Bangsamoro Autonomous Region in Muslim Mindanao,2018,At Constant 2018 Prices,235393060.0
Bangsamoro Autonomous Region in Muslim Mindanao,2018,At Current Prices,235393060.0
Bangsamoro Autonomous Region in Muslim Mindanao,2019,At Constant 2018 Prices,249157465.0
Bangsamoro Autonomous Region in Muslim Mindanao,2019,At Current Prices,254779370.0
Bangsamoro Autonomous Region in Muslim Mindanao,2020,At Constant 2018 Prices,244524738.0
Bangsamoro Autonomous Region in Muslim Mindanao,2020,At Current Prices,260347879.0
