Main_Sector,Year,Price_Type,Total_GRDP
"Agriculture, forestry, and fishing",2000,At Constant 2018 Prices,1045259507.0
"Agriculture, forestry, and fishing",2000,At Current Prices,505134510.0
"Agriculture, forestry, and fishing",2001,At Constant 2018 Prices,1084420004.0
"Agriculture, forestry, and fishing",2001,At Current Prices,525368838.0
"Agriculture, forestry, and fishing",2002,At Constant 2018 Prices,1125200404.0
"Agriculture, forestry, and fishing",2002,At Current Prices,574278611.0
"Agriculture, forestry, and fishing",2003,At Constant 2018 Prices,1177603207.0
"Agriculture, forestry, and fishing",2003,At Current Prices,609350312.0
"Agriculture, forestry, and fishing",2004,At Constant 2018 Prices,1236432132.0
"Agriculture, forestry, and fishing",2004,At Current Prices,731236819.0
"Agriculture, forestry, and fishing",2005,At Constant 2018 Prices,1280088840.0
"Agriculture, forestry, and fishing",2005,At Current Prices,785934073.0
"Agriculture, forestry, and fishing",2006,At Constant 2018 Prices,1338400605.0
"Agriculture, forestry, and fishing",2006,At Current Prices,859831020.0
"Agriculture, forestry, and fishing",2007,At Constant 2018 Prices,1407039948.0
"Agriculture, forestry, and fishing",2007,At Current Prices,960381725.0
"Agriculture, forestry, and fishing",2008,At Constant 2018 Prices,1454835870.0
"Agriculture, forestry, and fishing",2008,At Current Prices,1146461319.0
"Agriculture, forestry, and fishing",2009,At Constant 2018 Prices,1453016880.0
"Agriculture, forestry, and fishing",2009,At Current Prices,1195916572.0
"Agriculture, forestry, and fishing",2010,At Constant 2018 Prices,1471598774.0
"Agriculture, forestry, and fishing",2010,At Current Prices,1270750882.0
"Agriculture, forestry, and fishing",2011,At Constant 2018 Prices,1521398431.0
"Agriculture, forestry, and fishing",2011,At Current Prices,1404487618.0
"Agriculture, forestry, and fishing",2012,At Constant 2018 Prices,1569152661.0
"Agriculture, forestry, and fishing",2012,At Current Prices,1422429527.0
"Agriculture, forestry, and fishing",2013,At Constant 2018 Prices,1614950954.0
"Agriculture, forestry, and fishing",2013,At Current Prices,1474790729.0
"Agriculture, forestry, and fishing",2014,At Constant 2018 Prices,1645717595.0
"Agriculture, forestry, and fishing",2014,At Current Prices,1590901874.0
"Agriculture, forestry, and fishing",2015,At Constant 2018 Prices,1659304961.0
"Agriculture, forestry, and fishing",2015,At Current Prices,1506803514.0
"Agriculture, forestry, and fishing",2016,At Constant 2018 Prices,1644232755.0
"Agriculture, forestry, and fishing",2016,At Current Prices,1517843555.0
"Agriculture, forestry, and fishing",2017,At Constant 2018 Prices,1713428717.0
"Agriculture, forestry, and fishing",2017,At Current Prices,1658874760.0
"Agriculture, forestry, and fishing",2018,At Constant 2018 Prices,1733939507.0
"Agriculture, forestry, and fishing",2018,At Current Prices,1733939507.0
"Agriculture, forestry, and fishing",2019,At Constant 2018 Prices,1753980029.0
"Agriculture, forestry, and fishing",2019,At Current Prices,1694506261.0
"Agriculture, forestry, and fishing",2020,At Constant 2018 Prices,1751159239.0
"Agriculture, forestry, and fishing",2020,At Current Prices,1801523267.0
"Agriculture, forestry, and fishing",2021,At Constant 2018 Prices,1746483974.0
"Agriculture, forestry, and fishing",2021,At Current Prices,1924847427.0
"Agriculture, forestry, and fishing",2022,At Constant 2018 Prices,3452476307.0
"Agriculture, forestry, and fishing",2022,At Current Prices,4079712633.0
"Agriculture, forestry, and fishing",2023,At Constant 2018 Prices,3489428049.0
"Agriculture, forestry, and fishing",2023,At Current Prices,4420431784.0
"Agriculture, forestry, and fishing",2024,At Constant 2018 Prices,1694847458.0
"Agriculture, forestry, and fishing",2024,At Current Prices,2291896989.0
Industry,2000,At Constant 2018 Prices,2150570231.0
Industry,2000,At Current Prices,1235435435.0
Industry,2001,At Constant 2018 Prices,2182475687.0
Industry,2001,At Current Prices,1345765421.0
Industry,2002,At Constant 2018 Prices,2263626464.0
Industry,2002,At Current Prices,1450044700.0
Industry,2003,At Constant 2018 Prices,2378662679.0
Industry,2003,At Current Prices,1564113432.0
Industry,2004,At Constant 2018 Prices,2486429286.0
Industry,2004,At Current Prices,1719926279.0
Industry,2005,At Constant 2018 Prices,2617796218.0
Industry,2005,At Current Prices,1929673614.0
Industry,2006,At Constant 2018 Prices,2718179505.0
Industry,2006,At Current Prices,2114402994.0
Industry,2007,At Constant 2018 Prices,2853629094.0
Industry,2007,At Current Prices,2299013381.0
Industry,2008,At Constant 2018 Prices,3014748028.0
Industry,2008,At Current Prices,2560719078.0
Industry,2009,At Constant 2018 Prices,2971727364.0
Industry,2009,At Current Prices,2570216166.0
Industry,2010,At Constant 2018 Prices,3269526631.0
Industry,2010,At Current Prices,2955196413.0
Industry,2011,At Constant 2018 Prices,3330336921.0
Industry,2011,At Current Prices,3096317469.0
Industry,2012,At Constant 2018 Prices,3603282342.0
Industry,2012,At Current Prices,3402356157.0
Industry,2013,At Constant 2018 Prices,3852146801.0
Industry,2013,At Current Prices,3637298772.0
Industry,2014,At Constant 2018 Prices,4144115059.0
Industry,2014,At Current Prices,4026613784.0
Industry,2015,At Constant 2018 Prices,4419722777.0
Industry,2015,At Current Prices,4181419693.0
Industry,2016,At Constant 2018 Prices,4795003166.0
Industry,2016,At Current Prices,4519956876.0
Industry,2017,At Constant 2018 Prices,5128660441.0
Industry,2017,At Current Prices,4916721674.0
Industry,2018,At Constant 2018 Prices,5502939439.0
Industry,2018,At Current Prices,5502939439.0
Industry,2019,At Constant 2018 Prices,5809699612.0
Industry,2019,At Current Prices,5840748025.0
Industry,2020,At Constant 2018 Prices,5047864746.0
Industry,2020,At Current Prices,5027753582.0
Industry,2021,At Constant 2018 Prices,5473181907.0
Industry,2021,At Current Prices,5527766485.0
Industry,2022,At Constant 2018 Prices,11623977491.0
Industry,2022,At Current Prices,12639206123.0
Industry,2023,At Constant 2018 Prices,12037770736.0
Industry,2023,At Current Prices,13448746190.0
Industry,2024,At Constant 2018 Prices,6331986415.0
Industry,2024,At Current Prices,7140795207.0
Services,2000,At Constant 2018 Prices,3928234057.0
Services,2000,At Current Prices,1998584159.0
Services,2001,At Constant 2018 Prices,4076529995.0
Services,2001,At Current Prices,2203047634.0
Services,2002,At Constant 2018 Prices,4227477387.0
Services,2002,At Current Prices,2384187795.0
Services,2003,At Constant 2018 Prices,4456105759.0
Services,2003,At Current Prices,2622761694.0
Services,2004,At Constant 2018 Prices,4861319748.0
Services,2004,At Current Prices,2982551278.0
Services,2005,At Constant 2018 Prices,5128427404.0
Services,2005,At Current Prices,3341749792.0
Services,2006,At Constant 2018 Prices,5476319645.0
Services,2006,At Current Prices,3751040114.0
Services,2007,At Constant 2018 Prices,5915762711.0
Services,2007,At Current Prices,4159243390.0
Services,2008,At Constant 2018 Prices,6195602071.0
Services,2008,At Current Prices,4623661669.0
Services,2009,At Constant 2018 Prices,6459507713.0
Services,2009,At Current Prices,4977159140.0
Services,2010,At Constant 2018 Prices,6985569558.0
Services,2010,At Current Prices,5602739353.0
Services,2011,At Constant 2018 Prices,7376587561.0
Services,2011,At Current Prices,6146553377.0
Services,2012,At Constant 2018 Prices,7932237541.0
Services,2012,At Current Prices,6834174222.0
Services,2013,At Constant 2018 Prices,8546204548.0
Services,2013,At Current Prices,7631652791.0
Services,2014,At Constant 2018 Prices,9155957004.0
Services,2014,At Current Prices,8388237967.0
Services,2015,At Constant 2018 Prices,9868823997.0
Services,2015,At Current Prices,9184888934.0
Services,2016,At Constant 2018 Prices,10732507393.0
Services,2016,At Current Prices,10184835936.0
Services,2017,At Constant 2018 Prices,11530730984.0
Services,2017,At Current Prices,11177703634.0
Services,2018,At Constant 2018 Prices,12267924549.0
Services,2018,At Current Prices,12267924549.0
Services,2019,At Constant 2018 Prices,13094650758.0
Services,2019,At Current Prices,13306724606.0
Services,2020,At Constant 2018 Prices,11757657817.0
Services,2020,At Current Prices,12216188985.0
Services,2021,At Constant 2018 Prices,12389360725.0
Services,2021,At Current Prices,13116496158.0
Services,2022,At Constant 2018 Prices,27014884817.0
Services,2022,At Current Prices,29693801609.0
Services,2023,At Constant 2018 Prices,29004808036.0
Services,2023,At Current Prices,33440538420.0
Services,2024,At Constant 2018 Prices,15407170694.0
Services,2024,At Current Prices,18325441429.0
