Region,Main_Sector,Year,Price_Type,Sector_GRDP
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2000,At Constant 2018 Prices,55373996.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2000,At Current Prices,23764098.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2001,At Constant 2018 Prices,50753557.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2001,At Current Prices,20362653.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2002,At Constant 2018 Prices,58042444.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2002,At Current Prices,24717691.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2003,At Constant 2018 Prices,58137001.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2003,At Current Prices,25260742.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2004,At Constant 2018 Prices,61302901.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2004,At Current Prices,33906069.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2005,At Constant 2018 Prices,62592472.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2005,At Current Prices,36597638.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2006,At Constant 2018 Prices,65386060.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2006,At Current Prices,41050548.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2007,At Constant 2018 Prices,71412343.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2007,At Current Prices,44460624.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2008,At Constant 2018 Prices,72367007.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2008,At Current Prices,52097716.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2009,At Constant 2018 Prices,73799133.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2009,At Current Prices,54187166.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2010,At Constant 2018 Prices,79253838.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2010,At Current Prices,65924446.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2011,At Constant 2018 Prices,77330788.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2011,At Current Prices,68293112.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2012,At Constant 2018 Prices,73754761.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2012,At Current Prices,68900399.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2013,At Constant 2018 Prices,76354968.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2013,At Current Prices,71903812.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2014,At Constant 2018 Prices,76047456.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2014,At Current Prices,72194636.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2015,At Constant 2018 Prices,74144246.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2015,At Current Prices,64349165.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2016,At Constant 2018 Prices,72403035.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2016,At Current Prices,66195398.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2017,At Constant 2018 Prices,78308603.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2017,At Current Prices,76541585.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2018,At Constant 2018 Prices,85150356.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2018,At Current Prices,85150356.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2019,At Constant 2018 Prices,86089139.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2019,At Current Prices,87642334.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2020,At Constant 2018 Prices,88427001.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2020,At Current Prices,94542681.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2021,At Constant 2018 Prices,95725179.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2021,At Current Prices,102832808.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2022,At Constant 2018 Prices,198212904.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2022,At Current Prices,241672944.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2023,At Constant 2018 Prices,203248836.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2023,At Current Prices,274041873.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2024,At Constant 2018 Prices,97176392.0
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",2024,At Current Prices,140073739.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2000,At Constant 2018 Prices,98017851.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2000,At Current Prices,45671649.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2001,At Constant 2018 Prices,94136902.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2001,At Current Prices,44751362.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2002,At Constant 2018 Prices,105745055.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2002,At Current Prices,53170834.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2003,At Constant 2018 Prices,110826733.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2003,At Current Prices,57745738.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2004,At Constant 2018 Prices,119752524.0
