file,error
"Bicol Region, Gross Regional Domestic Product, by Industry.xlsm","ValueError('No year/value columns detected in Bicol Region, Gross Regional Domestic Product, by Industry.xlsm (sheet=2B5CPBI1).')"
"Cagayan Valley, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Cagayan Valley, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPCG1).')"
"CALABARZON , Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in CALABARZON , Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPCA1).')"
"Caraga, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Caraga, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPRG1).')"
"Central Luzon, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Central Luzon, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPCL1).')"
"Central Visayas, Gross Regional Domestic Product, by Industry.xlsm","ValueError('No year/value columns detected in Central Visayas, Gross Regional Domestic Product, by Industry.xlsm (sheet=2B5CPCV1).')"
"Cordillera Administrative Region, Gross Regional Domestic Product, by Industry.xlsm","ValueError('No year/value columns detected in Cordillera Administrative Region, Gross Regional Domestic Product, by Industry.xlsm (sheet=2B5CPCR1).')"
"Davao Region, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Davao Region, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPDV1).')"
"Eastern Visayas, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Eastern Visayas, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPEV1).')"
"Ilocos Region, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Ilocos Region, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPIL1).')"
"MIMAROPA Region, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in MIMAROPA Region, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPMI1).')"
"National Capital Region, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in National Capital Region, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPNC1).')"
"Northern Mindanao, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Northern Mindanao, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPNM1).')"
"SOCCSKSARGEN , Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in SOCCSKSARGEN , Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPSC1).')"
"Western Visayas, Gross Regional Domestic Product, by Industry.xlsx","ValueError('No year/value columns detected in Western Visayas, Gross Regional Domestic Product, by Industry.xlsx (sheet=2B5CPWS1).')"
"Zamboanga Peninsula, Gross Regional Domestic Product, by Industry.xlsm","ValueError('No year/value columns detected in Zamboanga Peninsula, Gross Regional Domestic Product, by Industry.xlsm (sheet=2B5CPZA1).')"
