Year,Bangsamoro Autonomous Region in Muslim Mindanao,Bicol Region,CALABARZON,Cagayan Valley,Caraga,Central Luzon,Central Visayas,Cordillera Administrative Region,Davao Region,Eastern Visayas,Ilocos Region,MIMAROPA Region,National Capital Region,Northern Mindanao,SOCCSKSARGEN,Western Visayas,Zamboanga Peninsula
2000,,,,,,,,,,,,,,,,,
2001,-3.959430818372056,3.196563022639398,1.678243864403517,3.6412507012221207,4.83680680979055,5.944735518229649,4.344406871219553,,2.5379335565580474,2.367388517080915,2.1510410017779202,3.7037370210395215,2.7774100233171284,6.856320044750719,0.8987560580475229,2.388581264691547,2.0547532269980406
2002,12.331139811675552,3.9690144818075312,4.902527059886541,1.5344274047847772,5.853466990334422,5.657875023255188,1.9370104652317144,,5.4683905129584875,2.878815280210145,3.0323053607498096,14.674080277067247,0.9529541591658086,10.09133903865289,10.046150373957374,2.739732680931173,2.886052406006767
2003,4.805593982621703,5.537053009195936,5.2520670073603615,2.5753165606025474,4.718848124221275,4.355992477356407,4.336134202355968,,7.083903844539141,5.642134256551068,4.506183884421455,9.794885633944084,4.661859959995618,6.605528127944704,6.354873933276117,5.875668119837529,4.411213009098391
2004,8.053824883568472,5.498581311956463,5.515470580639481,8.9447018990912,5.851271325015461,3.162511794907319,6.803843063591253,,6.411965203622261,5.702791420061004,5.202457373857361,3.7152587428746164,8.299581013523749,8.301146744671417,5.705308754853267,7.636893550129464,4.492082703484779
2005,5.490455466308175,5.473223418222406,5.284743768983136,-1.8915056932497953,4.472549114190749,3.90671556645783,7.0488509027100354,,4.178857333963992,5.8125553240749195,4.642856696841169,9.234785091488341,5.162447348033683,5.416812679596772,1.9896605746001494,5.045724317704403,7.4573693180805645
2006,5.845123978287448,3.3860508575292103,4.5425086701714745,9.862183580973372,6.562464769704723,4.709605698185038,4.667520667435188,,4.675043086711539,6.763775159054286,5.86771147944245,3.877023734698559,5.640079647582019,6.767318552272217,6.332839977545657,5.4832748386673735,3.8067796276445964
2007,5.1977496233102105,7.351915332065317,5.586293035334289,6.533120162413719,6.442919417920145,5.88817911256978,8.145111514356195,,6.161347638854853,3.192008373776445,5.924654376470673,9.454127301021487,6.810887161521317,7.3892405948081885,6.411938379909254,6.703927939163612,7.607472615255295
2008,1.740374970774683,5.111005618832332,3.582275813371383,2.44696923209351,2.7856245122397816,5.165599273911758,5.145085680074368,,3.891377850098743,4.837649529285715,2.976209715918432,4.976006110455522,4.530472688419618,5.516424272017595,4.825229315627855,4.799543831530495,2.9884114636010484
2009,3.53935048870897,7.035247359966634,-0.7691515987737763,2.176913007610981,1.9611214842781832,0.6633810469443002,3.024339995484837,,4.927347492444056,3.9338092935643942,-0.12000917192661609,4.569210072073937,-0.06651514100886047,3.3209721649637647,1.8667891044658047,5.604632097037343,6.748187806517714
2010,9.153049948428094,5.9150717873853065,10.226188756443499,4.074518331034005,10.40329505213693,10.034275168733275,12.01875800859824,,6.604864198680649,5.988848510342626,8.650486894696009,0.8064545039867088,6.318318177555882,6.20535443452368,3.4179711746442853,4.6495330449822125,3.3416624993827027
2011,2.8921029665954334,3.471468797709676,2.333683128375341,6.375254183194801,7.013092910830432,7.838395280742061,7.091122193382526,,3.9143361125029585,2.673388073154559,3.9122783334035294,3.876165937990206,2.347484742505368,5.973466844442532,4.823658060507596,6.256022143367601,0.14999027905273632
2012,2.5793079000842045,10.057083923681631,7.931522449813655,6.983121884752896,10.387334308846707,8.393796393786278,9.270427395910108,,7.101347193417862,-2.5084128432585118,5.2810588494444755,5.395621096615266,6.239146802080975,7.337317629464746,7.924831010188638,7.20215873951211,11.203743980799107
2013,4.590219550730246,10.133271791664434,7.336420169354563,8.923323486635804,9.407865304765185,5.9883722407025886,7.9082945556981254,,6.185329899735725,6.025752304599807,8.548459095782768,4.229675575587111,6.573094996701778,5.919582386483402,8.96969894934536,4.341798899415061,5.248581499580096
2014,6.332019135923472,5.946609398391112,5.789536300153597,8.423355511534968,8.901684974203272,7.734183563037589,7.407599422765476,,9.06629718288261,0.1486453138343613,6.5926100623723505,10.050204393497353,5.462302419696474,8.545389319536302,6.103643579872209,5.2925908192952065,7.3644036125080525
2015,1.0375425462699983,10.60425451827487,6.879853966826177,4.128136832788276,6.644312178812117,6.060040408534695,6.063809100145501,,7.99333244767102,6.3554333290694265,5.386650389761005,4.766347553993122,6.29591553706732,5.79260974574034,3.4315933186764402,7.5785042046490725,9.126424727598925
2016,3.454484277257963,7.16015931581071,6.852597946150474,4.85442261607294,6.178386270258174,7.932043718375481,7.415735734469564,,9.244751230697723,14.265840390319774,8.091062359770994,4.973838539849584,7.215057227968669,7.899074845139231,4.482184523397725,5.946488227929203,5.077653503970336
2017,10.112915107659393,5.52028131906388,7.705786181047958,7.8205243365851995,6.0556368467710175,10.39322808748675,7.101526429996197,,8.800567756140087,3.0431515258568576,5.575118411255553,6.331721994136452,5.5901931096759006,5.962441432945731,7.839864285190057,8.275298823533817,3.1191570825427783
2018,7.725014649706785,6.889181134443323,7.094938479596702,4.5649632999127165,5.16200755812517,6.904439201257295,7.089861025008948,,7.181448211845942,7.014094019484229,5.934312356771443,8.561815965148245,5.569659714924113,7.13512883768086,6.902215625887931,4.792393079112811,6.342396124036953
2019,5.847413258487744,8.223317829655175,4.60308148843489,6.869632962905792,5.403010417811505,5.885672832499078,6.1956809886038355,,7.066125258485045,5.605168812221195,7.278014988535064,4.3261088635393685,7.046152644794712,5.639893725173106,3.4509106357198283,6.255215799887992,4.599232813644072
2020,-1.8593570937158188,-8.349794115242748,-10.494266933901553,-9.819989239868733,-6.94145139882999,-13.852236356901892,-9.504806237245889,,-7.510406081851439,-7.356773378165871,-7.691554804593148,-7.498508106465063,-10.02875603527471,-5.30292962625063,-4.411741829546301,-9.688024807580343,-5.185329149278461
2021,7.508246875209812,4.329998851479111,7.673933677922085,5.079878919538405,7.264084543315796,7.436907833016626,5.3806985419653675,,5.876411635872447,6.049003389897489,4.595612492135959,3.338464130939678,4.387338796798446,6.253950496732674,5.17821710295685,5.902458251312459,5.730407553267858
2022,113.22533274995368,116.07368493797053,115.65292302620014,115.94596094492147,111.89941500050624,116.18836720966587,100.37193208640444,,116.33281396480757,113.49627422342974,115.1873341468102,112.57272756621322,114.46322003128388,114.31440034920416,113.18287066180991,75.15588908489221,114.98404232608709
2023,4.154016300931018,4.55651254284013,5.172975722689199,6.159511425986719,4.834392424578038,6.083747304903198,7.274457786615973,6.8521920549319715,6.705041884130236,6.341557436800382,7.084653338232716,4.663199721415978,4.883223667118863,5.258894472647002,3.497919571356367,7.0895667297356635,4.53318452946343
