Region,"Agriculture, forestry, and fishing",Industry,Services,Total
Bangsamoro Autonomous Region in Muslim Mindanao,97176392.0,76613748.0,127601803.0,301391943.0
Bicol Region,83416925.0,230228587.0,347060136.0,660705648.0
CALABARZON,136368270.0,1600574773.0,1665594332.0,3402537375.0
Cagayan Valley,119100783.0,139789685.0,218192385.0,477082853.0
Caraga,38517633.0,120551865.0,210475739.0,369545237.0
Central Luzon,248759760.0,1052171581.0,1378454028.0,2679385369.0
Central Visayas,63312953.0,318431229.0,1010457863.0,1392202045.0
Cordillera Administrative Region,28094112.0,87684830.0,292008793.0,407787735.0
Davao Region,146932316.0,273936316.0,726296244.0,1147164876.0
Eastern Visayas,64939227.0,223595863.0,280318705.0,568853795.0
Ilocos Region,112101747.0,223840052.0,428371572.0,764313371.0
MIMAROPA Region,70959793.0,139147941.0,238581960.0,448689694.0
National Capital Region,461374.0,1184900678.0,6833325951.0,8018688003.0
Northern Mindanao,187063290.0,266669320.0,622985600.0,1076718210.0
SOCCSKSARGEN,130856922.0,135649349.0,301861040.0,568367311.0
Western Visayas,93161638.0,121916629.0,461950849.0,677029116.0
Zamboanga Peninsula,73624323.0,136283969.0,263633694.0,473541986.0
