Region,Share_Agri,Share_Industry,Share_Services
Bangsamoro Autonomous Region in Muslim Mindanao,0.3224253144683433,0.25419972158977056,0.4233749639418861
Bicol Region,0.1262542938031612,0.34845863312492825,0.5252870730719106
CALABARZON,0.04007840472288714,0.4704062282343041,0.48951536704280874
Cagayan Valley,0.24964381396453164,0.29300924173017806,0.4573469443052903
Caraga,0.10422981855398666,0.3262168008946629,0.5695533805513505
Central Luzon,0.09284209837006092,0.3926913960094853,0.5144665056204537
Central Visayas,0.04547684240759753,0.2287248680201443,0.7257982895722581
Cordillera Administrative Region,0.06889396023644508,0.2150256677043021,0.7160803720592528
Davao Region,0.12808299754812227,0.23879419753085257,0.6331228049210251
Eastern Visayas,0.11415802719572259,0.3930638504398129,0.4927781223644645
Ilocos Region,0.14666987554244945,0.2928642367032462,0.5604658877543044
MIMAROPA Region,0.1581489255244628,0.3101206532281082,0.531730421247429
National Capital Region,5.7537342745769376e-05,0.14776740004807493,0.8521750626091793
Northern Mindanao,0.17373467659658137,0.24766862631588632,0.5785966970875324
SOCCSKSARGEN,0.23023301915405195,0.23866493792779014,0.5311020429181579
Western Visayas,0.1376035916304669,0.18007590237817778,0.6823205059913553
Zamboanga Peninsula,0.15547580822115317,0.28779701278695063,0.5567271789918962
