Region,Share_Agri,Share_Industry,Share_Services
Bangsamoro Autonomous Region in Muslim Mindanao,0.3607337173796276,0.256156319787521,0.38310996283285137
Bicol Region,0.13482168802743938,0.3207670617217072,0.5444112502508535
CALABARZON,0.05046020571870955,0.4373439467524582,0.5121958475288323
Cagayan Valley,0.2525667836423873,0.2918872741823618,0.45554594217525085
Caraga,0.11157292254562474,0.3300131508913427,0.5584139265630326
Central Luzon,0.10482655333999387,0.3694913511377707,0.5256820955222354
Central Visayas,0.054536049536834,0.23047293256311524,0.7149910179000508
Cordillera Administrative Region,0.07465336104861776,0.2085314311577994,0.7168152077935829
Davao Region,0.16232531105508907,0.22871362380428745,0.6089610651406235
Eastern Visayas,0.13231705107841196,0.34877390304868816,0.5189090458728999
Ilocos Region,0.1600785963493872,0.2916464001600105,0.5482750034906023
MIMAROPA Region,0.15690513244516355,0.27391026610300867,0.5691846014518278
National Capital Region,7.103835093929669e-05,0.14479072933764392,0.8551382323114168
Northern Mindanao,0.19422307985293344,0.24145294589533553,0.5643239742517311
SOCCSKSARGEN,0.24702689760192761,0.2222333029622259,0.5307397994358465
Western Visayas,0.13681871875619808,0.19119792893578635,0.6719833523080155
Zamboanga Peninsula,0.18684696642005819,0.29332394527737243,0.5198290883025695
