Region,Year,Price_Type,Share_Agri,Share_Industry,Share_Services,Dominant_Sector,Classification,Max_Share,Dominance_Gap
National Capital Region,2024,At Constant 2018 Prices,5.7537342745769376e-05,0.14776740004807493,0.8521750626091793,Services,Services-heavy,0.8521750626091793,0.7044076625611044
Central Visayas,2024,At Constant 2018 Prices,0.04547684240759753,0.2287248680201443,0.7257982895722581,Services,Services-heavy,0.7257982895722581,0.4970734215521138
Cordillera Administrative Region,2024,At Constant 2018 Prices,0.06889396023644508,0.2150256677043021,0.7160803720592528,Services,Services-heavy,0.7160803720592528,0.5010547043549507
Western Visayas,2024,At Constant 2018 Prices,0.1376035916304669,0.18007590237817778,0.6823205059913553,Services,Services-heavy,0.6823205059913553,0.5022446036131776
Davao Region,2024,At Constant 2018 Prices,0.12808299754812227,0.23879419753085257,0.6331228049210251,Services,Services-heavy,0.6331228049210251,0.39432860739017256
Northern Mindanao,2024,At Constant 2018 Prices,0.17373467659658137,0.24766862631588632,0.5785966970875324,Services,Services-heavy,0.5785966970875324,0.33092807077164604
Caraga,2024,At Constant 2018 Prices,0.10422981855398666,0.3262168008946629,0.5695533805513505,Services,Services-heavy,0.5695533805513505,0.24333657965668765
Ilocos Region,2024,At Constant 2018 Prices,0.14666987554244945,0.2928642367032462,0.5604658877543044,Services,Services-heavy,0.5604658877543044,0.2676016510510582
Zamboanga Peninsula,2024,At Constant 2018 Prices,0.15547580822115317,0.28779701278695063,0.5567271789918962,Services,Services-heavy,0.5567271789918962,0.26893016620494553
MIMAROPA Region,2024,At Constant 2018 Prices,0.1581489255244628,0.3101206532281082,0.531730421247429,Services,Services-heavy,0.531730421247429,0.22160976801932075
SOCCSKSARGEN,2024,At Constant 2018 Prices,0.23023301915405195,0.23866493792779014,0.5311020429181579,Services,Services-heavy,0.5311020429181579,0.29243710499036774
Bicol Region,2024,At Constant 2018 Prices,0.1262542938031612,0.34845863312492825,0.5252870730719106,Services,Services-heavy,0.5252870730719106,0.17682843994698233
Central Luzon,2024,At Constant 2018 Prices,0.09284209837006092,0.3926913960094853,0.5144665056204537,Services,Services-heavy,0.5144665056204537,0.12177510961096838
Eastern Visayas,2024,At Constant 2018 Prices,0.11415802719572259,0.3930638504398129,0.4927781223644645,Services,Services-heavy,0.4927781223644645,0.0997142719246516
CALABARZON,2024,At Constant 2018 Prices,0.04007840472288714,0.4704062282343041,0.48951536704280874,Services,Services-heavy,0.48951536704280874,0.019109138808504622
Cagayan Valley,2024,At Constant 2018 Prices,0.24964381396453164,0.29300924173017806,0.4573469443052903,Services,Services-heavy,0.4573469443052903,0.16433770257511227
Bangsamoro Autonomous Region in Muslim Mindanao,2024,At Constant 2018 Prices,0.3224253144683433,0.25419972158977056,0.4233749639418861,Services,Services-heavy,0.4233749639418861,0.10094964947354279
