Region,Year,Price_Type,Share_Agri,Share_Industry,Share_Services,Dominant_Sector,Classification,Max_Share,Dominance_Gap
National Capital Region,2024,At Current Prices,7.103835093929669e-05,0.14479072933764392,0.8551382323114168,Services,Services-heavy,0.8551382323114168,0.7103475029737729
Cordillera Administrative Region,2024,At Current Prices,0.07465336104861776,0.2085314311577994,0.7168152077935829,Services,Services-heavy,0.7168152077935829,0.5082837766357835
Central Visayas,2024,At Current Prices,0.054536049536834,0.23047293256311524,0.7149910179000508,Services,Services-heavy,0.7149910179000508,0.4845180853369356
Western Visayas,2024,At Current Prices,0.13681871875619808,0.19119792893578635,0.6719833523080155,Services,Services-heavy,0.6719833523080155,0.4807854233722292
Davao Region,2024,At Current Prices,0.16232531105508907,0.22871362380428745,0.6089610651406235,Services,Services-heavy,0.6089610651406235,0.3802474413363361
MIMAROPA Region,2024,At Current Prices,0.15690513244516355,0.27391026610300867,0.5691846014518278,Services,Services-heavy,0.5691846014518278,0.29527433534881914
Northern Mindanao,2024,At Current Prices,0.19422307985293344,0.24145294589533553,0.5643239742517311,Services,Services-heavy,0.5643239742517311,0.3228710283563956
Caraga,2024,At Current Prices,0.11157292254562474,0.3300131508913427,0.5584139265630326,Services,Services-heavy,0.5584139265630326,0.22840077567168987
Ilocos Region,2024,At Current Prices,0.1600785963493872,0.2916464001600105,0.5482750034906023,Services,Services-heavy,0.5482750034906023,0.25662860333059184
Bicol Region,2024,At Current Prices,0.13482168802743938,0.3207670617217072,0.5444112502508535,Services,Services-heavy,0.5444112502508535,0.22364418852914625
SOCCSKSARGEN,2024,At Current Prices,0.24702689760192761,0.2222333029622259,0.5307397994358465,Services,Services-heavy,0.5307397994358465,0.28371290183391884
Central Luzon,2024,At Current Prices,0.10482655333999387,0.3694913511377707,0.5256820955222354,Services,Services-heavy,0.5256820955222354,0.15619074438446473
Zamboanga Peninsula,2024,At Current Prices,0.18684696642005819,0.29332394527737243,0.5198290883025695,Services,Services-heavy,0.5198290883025695,0.22650514302519703
Eastern Visayas,2024,At Current Prices,0.13231705107841196,0.34877390304868816,0.5189090458728999,Services,Services-heavy,0.5189090458728999,0.17013514282421172
CALABARZON,2024,At Current Prices,0.05046020571870955,0.4373439467524582,0.5121958475288323,Services,Services-heavy,0.5121958475288323,0.0748519007763741
Cagayan Valley,2024,At Current Prices,0.2525667836423873,0.2918872741823618,0.45554594217525085,Services,Services-heavy,0.45554594217525085,0.16365866799288903
Bangsamoro Autonomous Region in Muslim Mindanao,2024,At Current Prices,0.3607337173796276,0.256156319787521,0.38310996283285137,Services,Services-heavy,0.38310996283285137,0.022376245453223753
