Region,Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
Bangsamoro Autonomous Region in Muslim Mindanao,At Constant 2018 Prices,25,205291574.96,170707107.0,123268202.9128,1.519504984934193e+16,94136902.0,583820586.0,489683684.0,133711481.0,235393060.0,101681579.0,107777726.2,133711481.0,170707107.0,235393060.0,284844187.0,0.6005,0.2755
Bangsamoro Autonomous Region in Muslim Mindanao,At Current Prices,25,195709311.28,154218301.0,171499078.2057,2.9411933825388236e+16,44751362.0,726210210.0,681458848.0,89250281.0,235393060.0,146142779.0,55000795.6,89250281.0,154218301.0,235393060.0,345523649.4,0.8763,0.4502
Bicol Region,At Constant 2018 Prices,25,417621844.4,334658891.0,271002487.9847,7.344234849390125e+16,176358450.0,1220391866.0,1044033416.0,229731835.0,517770299.0,288038464.0,193410170.2,229731835.0,334658891.0,517770299.0,610020210.8,0.6489,0.3853
Bicol Region,At Current Prices,25,396559266.48,298247874.0,337294607.267,1.1376765209142733e+17,96854451.0,1402277173.0,1305422722.0,158101543.0,516847516.0,358745973.0,116152697.4,158101543.0,298247874.0,516847516.0,687819772.8,0.8506,0.5315
CALABARZON,At Constant 2018 Prices,25,2204373728.76,1809708699.0,1313572969.6918,1.7254739467048666e+18,1050505077.0,6189461068.0,5138955991.0,1369674210.0,2534444265.0,1164770055.0,1144040506.6,1369674210.0,1809708699.0,2534444265.0,3092471014.4,0.5959,0.2983
CALABARZON,At Current Prices,25,2106031017.48,1721867470.0,1571721570.3181,2.4703086946032584e+18,601691426.0,6868980516.0,6267289090.0,1093698856.0,2565120461.0,1471421605.0,743211146.2,1093698856.0,1721867470.0,2565120461.0,3380458123.6,0.7463,0.4022
Cagayan Valley,At Constant 2018 Prices,25,321249327.16,264876624.0,187398395.6495,3.51181586919965e+16,158218411.0,893959823.0,735741412.0,200542676.0,371102979.0,170560303.0,168210803.4,200542676.0,264876624.0,371102979.0,447035748.6,0.5833,0.2984
Cagayan Valley,At Current Prices,25,300535600.48,234724620.0,235899664.9947,5.564865194459027e+16,85937981.0,1021420069.0,935482088.0,139253836.0,367331248.0,228077412.0,97636011.2,139253836.0,234724620.0,367331248.0,498500485.6,0.7849,0.4502
Caraga,At Constant 2018 Prices,25,234480446.84,193102956.0,150232070.1418,2.2569674899097836e+16,96921630.0,679103031.0,582181401.0,132729349.0,285001928.0,152272579.0,109587407.8,132729349.0,193102956.0,285001928.0,340164274.6,0.6407,0.3645
Caraga,At Current Prices,25,229383274.08,180393968.0,195239717.467,3.8118547276589864e+16,52357709.0,812123784.0,759766075.0,95817471.0,290561794.0,194744323.0,64790116.4,95817471.0,180393968.0,290561794.0,396230611.6,0.8512,0.504
Central Luzon,At Constant 2018 Prices,25,1614752795.12,1336963348.0,1007001264.1092,1.0140515459174417e+18,707245644.0,4635402950.0,3928157306.0,927301530.0,1929193858.0,1001892328.0,805477659.6,927301530.0,1336963348.0,1929193858.0,2354261898.2,0.6236,0.3507
Central Luzon,At Current Prices,25,1524743480.8,1206580595.0,1244755173.3732,1.549415441639338e+18,368786804.0,5297131451.0,4928344647.0,668848239.0,1864111182.0,1195262943.0,469172471.4,668848239.0,1206580595.0,1864111182.0,2609226929.8,0.8164,0.4719
Central Visayas,At Constant 2018 Prices,25,911405412.84,779760030.0,559729887.171,3.132975465924908e+17,382350583.0,2570730837.0,2188380254.0,507783275.0,1134912345.0,627129070.0,413743211.8,507783275.0,779760030.0,1134912345.0,1267454077.4,0.6141,0.3818
Central Visayas,At Current Prices,25,855505997.72,674544563.0,694537043.9406,4.82381705405707e+17,201368028.0,2932601507.0,2731233479.0,354599746.0,1170115820.0,815516074.0,242796434.2,354599746.0,674544563.0,1170115820.0,1403064823.2,0.8118,0.5349
Cordillera Administrative Region,At Constant 2018 Prices,3,358971396.6667,360896543.0,20324266.2556,413075798829152.4,337753055.0,378264592.0,40511537.0,349324799.0,369580567.5,20255768.5,342381752.6,349324799.0,360896543.0,369580567.5,374790982.2,0.0566,0.0282
Cordillera Administrative Region,At Current Prices,3,407220514.6667,410079730.0,39810137.8212,1584847073340912.2,366057851.0,445523963.0,79466112.0,388068790.5,427801846.5,39733056.0,374862226.8,388068790.5,410079730.0,427801846.5,438435116.4,0.0978,0.0487
