Region,Main_Sector,Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,83631776.64,74144246.0,37159991.0148,1380864932221592.8,50753557.0,203248836.0,152495279.0,65386060.0,85150356.0,19764296.0,58080266.8,65386060.0,74144246.0,85150356.0,96595906.8,0.4443,0.1313
Bangsamoro Autonomous Region in Muslim Mindanao,"Agriculture, forestry, and fishing",At Current Prices,25,77466569.32,66195398.0,61269159.9044,3753909955396219.5,20362653.0,274041873.0,253679220.0,41050548.0,85150356.0,44099808.0,24934911.4,41050548.0,66195398.0,85150356.0,125177366.6,0.7909,0.3494
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,At Constant 2018 Prices,25,205291574.96,170707107.0,123268202.9128,1.519504984934193e+16,94136902.0,583820586.0,489683684.0,133711481.0,235393060.0,101681579.0,107777726.2,133711481.0,170707107.0,235393060.0,284844187.0,0.6005,0.2755
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,At Current Prices,25,195709311.28,154218301.0,171499078.2057,2.9411933825388236e+16,44751362.0,726210210.0,681458848.0,89250281.0,235393060.0,146142779.0,55000795.6,89250281.0,154218301.0,235393060.0,345523649.4,0.8763,0.4502
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,At Constant 2018 Prices,25,43278810.52,37649876.0,35052988.0047,1228711968059425.8,7970250.0,141025502.0,133055252.0,16950290.0,56686761.0,39736471.0,11605908.8,16950290.0,37649876.0,56686761.0,71897057.6,0.8099,0.5396
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,At Current Prices,25,45506951.68,34967122.0,46287699.2733,2142551104011321.0,4584902.0,182157616.0,177572714.0,13758887.0,56686761.0,42927874.0,7767901.2,13758887.0,34967122.0,56686761.0,89448329.4,1.0172,0.6094
Bangsamoro Autonomous Region in Muslim Mindanao,Services,At Constant 2018 Prices,25,79805047.0,60837449.0,52940203.5627,2802665153256389.5,35264749.0,243060922.0,207796173.0,50646637.0,95346299.0,44699662.0,38780069.6,50646637.0,60837449.0,95346299.0,118045504.2,0.6634,0.3062
Bangsamoro Autonomous Region in Muslim Mindanao,Services,At Current Prices,25,74066639.4,51728045.0,65346610.2568,4270179472051403.0,17633404.0,273891635.0,256258231.0,34984606.0,95346299.0,60361693.0,22699800.2,34984606.0,51728045.0,95346299.0,132780412.2,0.8823,0.4631
Bicol Region,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,84737153.36,83416925.0,31592679.6441,998097407092800.5,48464204.0,183881652.0,135417448.0,67890996.0,89727203.0,21836207.0,56121144.4,67890996.0,83416925.0,89727203.0,93262500.6,0.3728,0.1385
Bicol Region,"Agriculture, forestry, and fishing",At Current Prices,25,75996883.32,73748987.0,42801003.0952,1831925865953382.2,27018967.0,201421916.0,174402949.0,43846888.0,89080266.0,45233378.0,32436955.4,43846888.0,73748987.0,89080266.0,102410013.4,0.5632,0.3403
